Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;02002 Alatoz;Total (tamaño del hogar);233
Total Nacional;02002 Alatoz;1 persona;84
Total Nacional;02002 Alatoz;2 personas;71
Total Nacional;02002 Alatoz;3 personas;42
Total Nacional;02002 Alatoz;4 personas;23
Total Nacional;02002 Alatoz;5 o más personas;13
Total Nacional;02003 Albacete;Total (tamaño del hogar);66.356
Total Nacional;02003 Albacete;1 persona;17.295
Total Nacional;02003 Albacete;2 personas;17.270
Total Nacional;02003 Albacete;3 personas;14.189
Total Nacional;02003 Albacete;4 personas;13.017
Total Nacional;02003 Albacete;5 o más personas;4.585
Total Nacional;02004 Albatana;Total (tamaño del hogar);296
Total Nacional;02004 Albatana;1 persona;104
Total Nacional;02004 Albatana;2 personas;83
Total Nacional;02004 Albatana;3 personas;52
Total Nacional;02004 Albatana;4 personas;40
Total Nacional;02004 Albatana;5 o más personas;17
Total Nacional;02005 Alborea;Total (tamaño del hogar);317
Total Nacional;02005 Alborea;1 persona;119
Total Nacional;02005 Alborea;2 personas;92
Total Nacional;02005 Alborea;3 personas;63
Total Nacional;02005 Alborea;4 personas;33
Total Nacional;02005 Alborea;5 o más personas;10
Total Nacional;02006 Alcadozo;Total (tamaño del hogar);280
Total Nacional;02006 Alcadozo;1 persona;114
Total Nacional;02006 Alcadozo;2 personas;71
Total Nacional;02006 Alcadozo;3 personas;35
Total Nacional;02006 Alcadozo;4 personas;35
Total Nacional;02006 Alcadozo;5 o más personas;25
Total Nacional;02007 Alcalá del Júcar;Total (tamaño del hogar);564
Total Nacional;02007 Alcalá del Júcar;1 persona;245
Total Nacional;02007 Alcalá del Júcar;2 personas;152
Total Nacional;02007 Alcalá del Júcar;3 personas;93
Total Nacional;02007 Alcalá del Júcar;4 personas;56
Total Nacional;02007 Alcalá del Júcar;5 o más personas;18
Total Nacional;02008 Alcaraz;Total (tamaño del hogar);552
Total Nacional;02008 Alcaraz;1 persona;199
Total Nacional;02008 Alcaraz;2 personas;141
Total Nacional;02008 Alcaraz;3 personas;89
Total Nacional;02008 Alcaraz;4 personas;82
Total Nacional;02008 Alcaraz;5 o más personas;41
Total Nacional;02009 Almansa;Total (tamaño del hogar);9.536
Total Nacional;02009 Almansa;1 persona;2.440
Total Nacional;02009 Almansa;2 personas;2.560
Total Nacional;02009 Almansa;3 personas;2.113
Total Nacional;02009 Almansa;4 personas;1.914
Total Nacional;02009 Almansa;5 o más personas;509
Total Nacional;02010 Alpera;Total (tamaño del hogar);898
Total Nacional;02010 Alpera;1 persona;256
Total Nacional;02010 Alpera;2 personas;229
Total Nacional;02010 Alpera;3 personas;181
Total Nacional;02010 Alpera;4 personas;164
Total Nacional;02010 Alpera;5 o más personas;68
Total Nacional;02011 Ayna;Total (tamaño del hogar);316
Total Nacional;02011 Ayna;1 persona;158
Total Nacional;02011 Ayna;2 personas;93
Total Nacional;02011 Ayna;3 personas;33
Total Nacional;02011 Ayna;4 personas;23
Total Nacional;02011 Ayna;5 o más personas;9
Total Nacional;02012 Balazote;Total (tamaño del hogar);907
Total Nacional;02012 Balazote;1 persona;238
Total Nacional;02012 Balazote;2 personas;230
Total Nacional;02012 Balazote;3 personas;191
Total Nacional;02012 Balazote;4 personas;189
Total Nacional;02012 Balazote;5 o más personas;59
Total Nacional;02013 Balsa de Ves;Total (tamaño del hogar);72
Total Nacional;02013 Balsa de Ves;1 persona;39
Total Nacional;02013 Balsa de Ves;2 personas;18
Total Nacional;02013 Balsa de Ves;3 personas;10
Total Nacional;02013 Balsa de Ves;4 personas;2
Total Nacional;02013 Balsa de Ves;5 o más personas;3
Total Nacional;02014 Ballestero, El;Total (tamaño del hogar);189
Total Nacional;02014 Ballestero, El;1 persona;65
Total Nacional;02014 Ballestero, El;2 personas;63
Total Nacional;02014 Ballestero, El;3 personas;34
Total Nacional;02014 Ballestero, El;4 personas;20
Total Nacional;02014 Ballestero, El;5 o más personas;7
Total Nacional;02015 Barrax;Total (tamaño del hogar);703
Total Nacional;02015 Barrax;1 persona;208
Total Nacional;02015 Barrax;2 personas;160
Total Nacional;02015 Barrax;3 personas;136
Total Nacional;02015 Barrax;4 personas;138
Total Nacional;02015 Barrax;5 o más personas;61
Total Nacional;02016 Bienservida;Total (tamaño del hogar);282
Total Nacional;02016 Bienservida;1 persona;121
Total Nacional;02016 Bienservida;2 personas;77
Total Nacional;02016 Bienservida;3 personas;40
Total Nacional;02016 Bienservida;4 personas;29
Total Nacional;02016 Bienservida;5 o más personas;15
Total Nacional;02017 Bogarra;Total (tamaño del hogar);405
Total Nacional;02017 Bogarra;1 persona;189
Total Nacional;02017 Bogarra;2 personas;123
Total Nacional;02017 Bogarra;3 personas;57
Total Nacional;02017 Bogarra;4 personas;23
Total Nacional;02017 Bogarra;5 o más personas;13
Total Nacional;02018 Bonete;Total (tamaño del hogar);411
Total Nacional;02018 Bonete;1 persona;118
Total Nacional;02018 Bonete;2 personas;111
Total Nacional;02018 Bonete;3 personas;88
Total Nacional;02018 Bonete;4 personas;60
Total Nacional;02018 Bonete;5 o más personas;34
Total Nacional;02019 Bonillo, El;Total (tamaño del hogar);1.092
Total Nacional;02019 Bonillo, El;1 persona;318
Total Nacional;02019 Bonillo, El;2 personas;283
Total Nacional;02019 Bonillo, El;3 personas;225
Total Nacional;02019 Bonillo, El;4 personas;210
Total Nacional;02019 Bonillo, El;5 o más personas;56
Total Nacional;02020 Carcelén;Total (tamaño del hogar);234
Total Nacional;02020 Carcelén;1 persona;96
Total Nacional;02020 Carcelén;2 personas;71
Total Nacional;02020 Carcelén;3 personas;31
Total Nacional;02020 Carcelén;4 personas;23
Total Nacional;02020 Carcelén;5 o más personas;13
Total Nacional;02021 Casas de Juan Núñez;Total (tamaño del hogar);564
Total Nacional;02021 Casas de Juan Núñez;1 persona;199
Total Nacional;02021 Casas de Juan Núñez;2 personas;127
Total Nacional;02021 Casas de Juan Núñez;3 personas;109
Total Nacional;02021 Casas de Juan Núñez;4 personas;86
Total Nacional;02021 Casas de Juan Núñez;5 o más personas;43
Total Nacional;02022 Casas de Lázaro;Total (tamaño del hogar);162
Total Nacional;02022 Casas de Lázaro;1 persona;70
Total Nacional;02022 Casas de Lázaro;2 personas;43
Total Nacional;02022 Casas de Lázaro;3 personas;30
Total Nacional;02022 Casas de Lázaro;4 personas;16
Total Nacional;02022 Casas de Lázaro;5 o más personas;3
Total Nacional;02023 Casas de Ves;Total (tamaño del hogar);284
Total Nacional;02023 Casas de Ves;1 persona;124
Total Nacional;02023 Casas de Ves;2 personas;89
Total Nacional;02023 Casas de Ves;3 personas;32
Total Nacional;02023 Casas de Ves;4 personas;30
Total Nacional;02023 Casas de Ves;5 o más personas;9
Total Nacional;02024 Casas-Ibáñez;Total (tamaño del hogar);1.760
Total Nacional;02024 Casas-Ibáñez;1 persona;466
Total Nacional;02024 Casas-Ibáñez;2 personas;483
Total Nacional;02024 Casas-Ibáñez;3 personas;353
Total Nacional;02024 Casas-Ibáñez;4 personas;332
Total Nacional;02024 Casas-Ibáñez;5 o más personas;126
Total Nacional;02025 Caudete;Total (tamaño del hogar);3.955
Total Nacional;02025 Caudete;1 persona;1.082
Total Nacional;02025 Caudete;2 personas;1.105
Total Nacional;02025 Caudete;3 personas;796
Total Nacional;02025 Caudete;4 personas;701
Total Nacional;02025 Caudete;5 o más personas;271
Total Nacional;02026 Cenizate;Total (tamaño del hogar);430
Total Nacional;02026 Cenizate;1 persona;98
Total Nacional;02026 Cenizate;2 personas;97
Total Nacional;02026 Cenizate;3 personas;97
Total Nacional;02026 Cenizate;4 personas;91
Total Nacional;02026 Cenizate;5 o más personas;47
Total Nacional;02027 Corral-Rubio;Total (tamaño del hogar);133
Total Nacional;02027 Corral-Rubio;1 persona;51
Total Nacional;02027 Corral-Rubio;2 personas;31
Total Nacional;02027 Corral-Rubio;3 personas;26
Total Nacional;02027 Corral-Rubio;4 personas;15
Total Nacional;02027 Corral-Rubio;5 o más personas;10
Total Nacional;02028 Cotillas;Total (tamaño del hogar);71
