Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;02034 Fuentealbilla;1 persona;207
Total Nacional;02034 Fuentealbilla;2 personas;195
Total Nacional;02034 Fuentealbilla;3 personas;144
Total Nacional;02034 Fuentealbilla;4 personas;123
Total Nacional;02034 Fuentealbilla;5 o más personas;55
Total Nacional;02035 Gineta, La;Total (tamaño del hogar);971
Total Nacional;02035 Gineta, La;1 persona;244
Total Nacional;02035 Gineta, La;2 personas;259
Total Nacional;02035 Gineta, La;3 personas;215
Total Nacional;02035 Gineta, La;4 personas;178
Total Nacional;02035 Gineta, La;5 o más personas;75
Total Nacional;02036 Golosalvo;Total (tamaño del hogar);46
Total Nacional;02036 Golosalvo;1 persona;13
Total Nacional;02036 Golosalvo;2 personas;21
Total Nacional;02036 Golosalvo;3 personas;5
Total Nacional;02036 Golosalvo;4 personas;6
Total Nacional;02036 Golosalvo;5 o más personas;1
Total Nacional;02037 Hellín;Total (tamaño del hogar);11.396
Total Nacional;02037 Hellín;1 persona;2.937
Total Nacional;02037 Hellín;2 personas;2.927
Total Nacional;02037 Hellín;3 personas;2.376
Total Nacional;02037 Hellín;4 personas;2.138
Total Nacional;02037 Hellín;5 o más personas;1.018
Total Nacional;02038 Herrera, La;Total (tamaño del hogar);139
Total Nacional;02038 Herrera, La;1 persona;42
Total Nacional;02038 Herrera, La;2 personas;46
Total Nacional;02038 Herrera, La;3 personas;27
Total Nacional;02038 Herrera, La;4 personas;19
Total Nacional;02038 Herrera, La;5 o más personas;5
Total Nacional;02039 Higueruela;Total (tamaño del hogar);453
Total Nacional;02039 Higueruela;1 persona;124
Total Nacional;02039 Higueruela;2 personas;123
Total Nacional;02039 Higueruela;3 personas;90
Total Nacional;02039 Higueruela;4 personas;87
Total Nacional;02039 Higueruela;5 o más personas;29
Total Nacional;02040 Hoya-Gonzalo;Total (tamaño del hogar);228
Total Nacional;02040 Hoya-Gonzalo;1 persona;61
Total Nacional;02040 Hoya-Gonzalo;2 personas;69
Total Nacional;02040 Hoya-Gonzalo;3 personas;32
Total Nacional;02040 Hoya-Gonzalo;4 personas;42
Total Nacional;02040 Hoya-Gonzalo;5 o más personas;24
Total Nacional;02041 Jorquera;Total (tamaño del hogar);188
Total Nacional;02041 Jorquera;1 persona;95
Total Nacional;02041 Jorquera;2 personas;40
Total Nacional;02041 Jorquera;3 personas;31
Total Nacional;02041 Jorquera;4 personas;16
Total Nacional;02041 Jorquera;5 o más personas;6
Total Nacional;02042 Letur;Total (tamaño del hogar);427
Total Nacional;02042 Letur;1 persona;169
Total Nacional;02042 Letur;2 personas;117
Total Nacional;02042 Letur;3 personas;84
Total Nacional;02042 Letur;4 personas;42
Total Nacional;02042 Letur;5 o más personas;15
Total Nacional;02043 Lezuza;Total (tamaño del hogar);557
Total Nacional;02043 Lezuza;1 persona;179
Total Nacional;02043 Lezuza;2 personas;149
Total Nacional;02043 Lezuza;3 personas;108
Total Nacional;02043 Lezuza;4 personas;93
Total Nacional;02043 Lezuza;5 o más personas;28
Total Nacional;02044 Liétor;Total (tamaño del hogar);496
Total Nacional;02044 Liétor;1 persona;172
Total Nacional;02044 Liétor;2 personas;142
Total Nacional;02044 Liétor;3 personas;91
Total Nacional;02044 Liétor;4 personas;71
Total Nacional;02044 Liétor;5 o más personas;20
Total Nacional;02045 Madrigueras;Total (tamaño del hogar);1.775
Total Nacional;02045 Madrigueras;1 persona;420
Total Nacional;02045 Madrigueras;2 personas;497
Total Nacional;02045 Madrigueras;3 personas;377
Total Nacional;02045 Madrigueras;4 personas;364
Total Nacional;02045 Madrigueras;5 o más personas;117
Total Nacional;02046 Mahora;Total (tamaño del hogar);559
Total Nacional;02046 Mahora;1 persona;153
Total Nacional;02046 Mahora;2 personas;152
Total Nacional;02046 Mahora;3 personas;125
Total Nacional;02046 Mahora;4 personas;99
Total Nacional;02046 Mahora;5 o más personas;30
Total Nacional;02047 Masegoso;Total (tamaño del hogar);60
Total Nacional;02047 Masegoso;1 persona;29
Total Nacional;02047 Masegoso;2 personas;21
Total Nacional;02047 Masegoso;3 personas;7
Total Nacional;02047 Masegoso;4 personas;2
Total Nacional;02047 Masegoso;5 o más personas;1
Total Nacional;02048 Minaya;Total (tamaño del hogar);629
Total Nacional;02048 Minaya;1 persona;214
Total Nacional;02048 Minaya;2 personas;166
Total Nacional;02048 Minaya;3 personas;109
Total Nacional;02048 Minaya;4 personas;88
Total Nacional;02048 Minaya;5 o más personas;52
Total Nacional;02049 Molinicos;Total (tamaño del hogar);447
Total Nacional;02049 Molinicos;1 persona;214
Total Nacional;02049 Molinicos;2 personas;132
Total Nacional;02049 Molinicos;3 personas;58
Total Nacional;02049 Molinicos;4 personas;29
Total Nacional;02049 Molinicos;5 o más personas;14
Total Nacional;02050 Montalvos;Total (tamaño del hogar);45
Total Nacional;02050 Montalvos;1 persona;24
Total Nacional;02050 Montalvos;2 personas;9
Total Nacional;02050 Montalvos;3 personas;7
Total Nacional;02050 Montalvos;4 personas;4
Total Nacional;02050 Montalvos;5 o más personas;1
Total Nacional;02051 Montealegre del Castillo;Total (tamaño del hogar);796
Total Nacional;02051 Montealegre del Castillo;1 persona;232
Total Nacional;02051 Montealegre del Castillo;2 personas;204
Total Nacional;02051 Montealegre del Castillo;3 personas;176
Total Nacional;02051 Montealegre del Castillo;4 personas;127
Total Nacional;02051 Montealegre del Castillo;5 o más personas;57
Total Nacional;02052 Motilleja;Total (tamaño del hogar);264
Total Nacional;02052 Motilleja;1 persona;94
Total Nacional;02052 Motilleja;2 personas;70
Total Nacional;02052 Motilleja;3 personas;47
Total Nacional;02052 Motilleja;4 personas;34
Total Nacional;02052 Motilleja;5 o más personas;19
Total Nacional;02053 Munera;Total (tamaño del hogar);1.331
Total Nacional;02053 Munera;1 persona;389
Total Nacional;02053 Munera;2 personas;325
Total Nacional;02053 Munera;3 personas;250
Total Nacional;02053 Munera;4 personas;255
Total Nacional;02053 Munera;5 o más personas;112
Total Nacional;02054 Navas de Jorquera;Total (tamaño del hogar);217
Total Nacional;02054 Navas de Jorquera;1 persona;71
Total Nacional;02054 Navas de Jorquera;2 personas;46
Total Nacional;02054 Navas de Jorquera;3 personas;48
Total Nacional;02054 Navas de Jorquera;4 personas;39
Total Nacional;02054 Navas de Jorquera;5 o más personas;13
Total Nacional;02055 Nerpio;Total (tamaño del hogar);541
Total Nacional;02055 Nerpio;1 persona;219
Total Nacional;02055 Nerpio;2 personas;137
Total Nacional;02055 Nerpio;3 personas;83
Total Nacional;02055 Nerpio;4 personas;70
Total Nacional;02055 Nerpio;5 o más personas;32
Total Nacional;02056 Ontur;Total (tamaño del hogar);811
Total Nacional;02056 Ontur;1 persona;229
Total Nacional;02056 Ontur;2 personas;253
Total Nacional;02056 Ontur;3 personas;159
Total Nacional;02056 Ontur;4 personas;118
Total Nacional;02056 Ontur;5 o más personas;52
Total Nacional;02057 Ossa de Montiel;Total (tamaño del hogar);939
Total Nacional;02057 Ossa de Montiel;1 persona;306
Total Nacional;02057 Ossa de Montiel;2 personas;240
Total Nacional;02057 Ossa de Montiel;3 personas;180
Total Nacional;02057 Ossa de Montiel;4 personas;163
Total Nacional;02057 Ossa de Montiel;5 o más personas;50
Total Nacional;02058 Paterna del Madera;Total (tamaño del hogar);177
Total Nacional;02058 Paterna del Madera;1 persona;92
Total Nacional;02058 Paterna del Madera;2 personas;43
Total Nacional;02058 Paterna del Madera;3 personas;24
Total Nacional;02058 Paterna del Madera;4 personas;16
Total Nacional;02058 Paterna del Madera;5 o más personas;2
Total Nacional;02059 Peñascosa;Total (tamaño del hogar);159
Total Nacional;02059 Peñascosa;1 persona;67
Total Nacional;02059 Peñascosa;2 personas;48
Total Nacional;02059 Peñascosa;3 personas;23
Total Nacional;02059 Peñascosa;4 personas;15
Total Nacional;02059 Peñascosa;5 o más personas;6
Total Nacional;02060 Peñas de San Pedro;Total (tamaño del hogar);718
Total Nacional;02060 Peñas de San Pedro;1 persona;380
Total Nacional;02060 Peñas de San Pedro;2 personas;140
Total Nacional;02060 Peñas de San Pedro;3 personas;85
Total Nacional;02060 Peñas de San Pedro;4 personas;81
Total Nacional;02060 Peñas de San Pedro;5 o más personas;32
Total Nacional;02061 Pétrola;Total (tamaño del hogar);324
Total Nacional;02061 Pétrola;1 persona;140
Total Nacional;02061 Pétrola;2 personas;93
Total Nacional;02061 Pétrola;3 personas;36
Total Nacional;02061 Pétrola;4 personas;42
Total Nacional;02061 Pétrola;5 o más personas;13
Total Nacional;02062 Povedilla;Total (tamaño del hogar);191
Total Nacional;02062 Povedilla;1 persona;74
Total Nacional;02062 Povedilla;2 personas;62
Total Nacional;02062 Povedilla;3 personas;27
Total Nacional;02062 Povedilla;4 personas;18
Total Nacional;02062 Povedilla;5 o más personas;10
Total Nacional;02063 Pozohondo;Total (tamaño del hogar);696
Total Nacional;02063 Pozohondo;1 persona;242
Total Nacional;02063 Pozohondo;2 personas;215
Total Nacional;02063 Pozohondo;3 personas;105
Total Nacional;02063 Pozohondo;4 personas;95
Total Nacional;02063 Pozohondo;5 o más personas;39
Total Nacional;02064 Pozo-Lorente;Total (tamaño del hogar);183
Total Nacional;02064 Pozo-Lorente;1 persona;76
Total Nacional;02064 Pozo-Lorente;2 personas;45
Total Nacional;02064 Pozo-Lorente;3 personas;32
Total Nacional;02064 Pozo-Lorente;4 personas;23
Total Nacional;02064 Pozo-Lorente;5 o más personas;7
Total Nacional;02065 Pozuelo;Total (tamaño del hogar);211
Total Nacional;02065 Pozuelo;1 persona;86
Total Nacional;02065 Pozuelo;2 personas;54
Total Nacional;02065 Pozuelo;3 personas;35
Total Nacional;02065 Pozuelo;4 personas;25
Total Nacional;02065 Pozuelo;5 o más personas;11
Total Nacional;02066 Recueja, La;Total (tamaño del hogar);102
Total Nacional;02066 Recueja, La;1 persona;38
Total Nacional;02066 Recueja, La;2 personas;29
Total Nacional;02066 Recueja, La;3 personas;17
Total Nacional;02066 Recueja, La;4 personas;13
Total Nacional;02066 Recueja, La;5 o más personas;5
Total Nacional;02067 Riópar;Total (tamaño del hogar);570
Total Nacional;02067 Riópar;1 persona;189
Total Nacional;02067 Riópar;2 personas;155
Total Nacional;02067 Riópar;3 personas;112
Total Nacional;02067 Riópar;4 personas;96
Total Nacional;02067 Riópar;5 o más personas;18
Total Nacional;02068 Robledo;Total (tamaño del hogar);175
Total Nacional;02068 Robledo;1 persona;67
Total Nacional;02068 Robledo;2 personas;47
Total Nacional;02068 Robledo;3 personas;31
Total Nacional;02068 Robledo;4 personas;20
Total Nacional;02068 Robledo;5 o más personas;10
Total Nacional;02069 Roda, La;Total (tamaño del hogar);5.843
Total Nacional;02069 Roda, La;1 persona;1.402
Total Nacional;02069 Roda, La;2 personas;1.559
Total Nacional;02069 Roda, La;3 personas;1.223
Total Nacional;02069 Roda, La;4 personas;1.238
Total Nacional;02069 Roda, La;5 o más personas;421
Total Nacional;02070 Salobre;Total (tamaño del hogar);212
Total Nacional;02070 Salobre;1 persona;89
Total Nacional;02070 Salobre;2 personas;57
Total Nacional;02070 Salobre;3 personas;24
Total Nacional;02070 Salobre;4 personas;30
Total Nacional;02070 Salobre;5 o más personas;12
Total Nacional;02071 San Pedro;Total (tamaño del hogar);468
Total Nacional;02071 San Pedro;1 persona;146
Total Nacional;02071 San Pedro;2 personas;122
Total Nacional;02071 San Pedro;3 personas;99
Total Nacional;02071 San Pedro;4 personas;68
Total Nacional;02071 San Pedro;5 o más personas;33
Total Nacional;02072 Socovos;Total (tamaño del hogar);718
Total Nacional;02072 Socovos;1 persona;233
Total Nacional;02072 Socovos;2 personas;193
Total Nacional;02072 Socovos;3 personas;147
Total Nacional;02072 Socovos;4 personas;101
Total Nacional;02072 Socovos;5 o más personas;44
Total Nacional;02073 Tarazona de la Mancha;Total (tamaño del hogar);2.471
Total Nacional;02073 Tarazona de la Mancha;1 persona;709
Total Nacional;02073 Tarazona de la Mancha;2 personas;665
Total Nacional;02073 Tarazona de la Mancha;3 personas;461
Total Nacional;02073 Tarazona de la Mancha;4 personas;460
Total Nacional;02073 Tarazona de la Mancha;5 o más personas;176
Total Nacional;02074 Tobarra;Total (tamaño del hogar);3.010
Total Nacional;02074 Tobarra;1 persona;870
Total Nacional;02074 Tobarra;2 personas;747
Total Nacional;02074 Tobarra;3 personas;598
Total Nacional;02074 Tobarra;4 personas;570
Total Nacional;02074 Tobarra;5 o más personas;225
Total Nacional;02075 Valdeganga;Total (tamaño del hogar);777
Total Nacional;02075 Valdeganga;1 persona;219
Total Nacional;02075 Valdeganga;2 personas;205
Total Nacional;02075 Valdeganga;3 personas;157
Total Nacional;02075 Valdeganga;4 personas;143
Total Nacional;02075 Valdeganga;5 o más personas;53
Total Nacional;02076 Vianos;Total (tamaño del hogar);157
Total Nacional;02076 Vianos;1 persona;67
Total Nacional;02076 Vianos;2 personas;39
Total Nacional;02076 Vianos;3 personas;28
Total Nacional;02076 Vianos;4 personas;18
Total Nacional;02076 Vianos;5 o más personas;5
Total Nacional;02077 Villa de Ves;Total (tamaño del hogar);31
Total Nacional;02077 Villa de Ves;1 persona;15
Total Nacional;02077 Villa de Ves;2 personas;8
Total Nacional;02077 Villa de Ves;3 personas;4
Total Nacional;02077 Villa de Ves;4 personas;3
Total Nacional;02077 Villa de Ves;5 o más personas;1
Total Nacional;02078 Villalgordo del Júcar;Total (tamaño del hogar);445
Total Nacional;02078 Villalgordo del Júcar;1 persona;140
Total Nacional;02078 Villalgordo del Júcar;2 personas;129
Total Nacional;02078 Villalgordo del Júcar;3 personas;68
Total Nacional;02078 Villalgordo del Júcar;4 personas;72
Total Nacional;02078 Villalgordo del Júcar;5 o más personas;36
Total Nacional;02079 Villamalea;Total (tamaño del hogar);1.523
Total Nacional;02079 Villamalea;1 persona;334
Total Nacional;02079 Villamalea;2 personas;436
Total Nacional;02079 Villamalea;3 personas;362
Total Nacional;02079 Villamalea;4 personas;272
Total Nacional;02079 Villamalea;5 o más personas;119
Total Nacional;02080 Villapalacios;Total (tamaño del hogar);241
Total Nacional;02080 Villapalacios;1 persona;92
Total Nacional;02080 Villapalacios;2 personas;61
Total Nacional;02080 Villapalacios;3 personas;39
Total Nacional;02080 Villapalacios;4 personas;32
Total Nacional;02080 Villapalacios;5 o más personas;17
Total Nacional;02081 Villarrobledo;Total (tamaño del hogar);9.144
Total Nacional;02081 Villarrobledo;1 persona;2.181
Total Nacional;02081 Villarrobledo;2 personas;2.205
Total Nacional;02081 Villarrobledo;3 personas;1.909
Total Nacional;02081 Villarrobledo;4 personas;1.974
Total Nacional;02081 Villarrobledo;5 o más personas;875
Total Nacional;02082 Villatoya;Total (tamaño del hogar);59
Total Nacional;02082 Villatoya;1 persona;30
Total Nacional;02082 Villatoya;2 personas;16
Total Nacional;02082 Villatoya;3 personas;7
Total Nacional;02082 Villatoya;4 personas;5
Total Nacional;02082 Villatoya;5 o más personas;1
Total Nacional;02083 Villavaliente;Total (tamaño del hogar);102
Total Nacional;02083 Villavaliente;1 persona;43
Total Nacional;02083 Villavaliente;2 personas;23
Total Nacional;02083 Villavaliente;3 personas;23
Total Nacional;02083 Villavaliente;4 personas;10
Total Nacional;02083 Villavaliente;5 o más personas;3
Total Nacional;02084 Villaverde de Guadalimar;Total (tamaño del hogar);178
Total Nacional;02084 Villaverde de Guadalimar;1 persona;89
Total Nacional;02084 Villaverde de Guadalimar;2 personas;45
Total Nacional;02084 Villaverde de Guadalimar;3 personas;27
Total Nacional;02084 Villaverde de Guadalimar;4 personas;13
Total Nacional;02084 Villaverde de Guadalimar;5 o más personas;4
Total Nacional;02085 Viveros;Total (tamaño del hogar);158
Total Nacional;02085 Viveros;1 persona;62
Total Nacional;02085 Viveros;2 personas;51
Total Nacional;02085 Viveros;3 personas;18
Total Nacional;02085 Viveros;4 personas;24
Total Nacional;02085 Viveros;5 o más personas;3
Total Nacional;02086 Yeste;Total (tamaño del hogar);1.196
Total Nacional;02086 Yeste;1 persona;472
Total Nacional;02086 Yeste;2 personas;347
Total Nacional;02086 Yeste;3 personas;189
Total Nacional;02086 Yeste;4 personas;137
Total Nacional;02086 Yeste;5 o más personas;51
Total Nacional;02901 Pozo Cañada;Total (tamaño del hogar);1.031
Total Nacional;02901 Pozo Cañada;1 persona;250
Total Nacional;02901 Pozo Cañada;2 personas;246
Total Nacional;02901 Pozo Cañada;3 personas;213
Total Nacional;02901 Pozo Cañada;4 personas;238
Total Nacional;02901 Pozo Cañada;5 o más personas;84
Total Nacional;03001 Atzúbia, l';Total (tamaño del hogar);289
Total Nacional;03001 Atzúbia, l';1 persona;95
Total Nacional;03001 Atzúbia, l';2 personas;116
Total Nacional;03001 Atzúbia, l';3 personas;35
Total Nacional;03001 Atzúbia, l';4 personas;30
Total Nacional;03001 Atzúbia, l';5 o más personas;13
Total Nacional;03002 Agost;Total (tamaño del hogar);1.887
Total Nacional;03002 Agost;1 persona;481
Total Nacional;03002 Agost;2 personas;513
Total Nacional;03002 Agost;3 personas;398
Total Nacional;03002 Agost;4 personas;347
Total Nacional;03002 Agost;5 o más personas;148
Total Nacional;03003 Agres;Total (tamaño del hogar);264
Total Nacional;03003 Agres;1 persona;96
Total Nacional;03003 Agres;2 personas;75
Total Nacional;03003 Agres;3 personas;44
Total Nacional;03003 Agres;4 personas;41
Total Nacional;03003 Agres;5 o más personas;8
Total Nacional;03004 Aigües;Total (tamaño del hogar);456
Total Nacional;03004 Aigües;1 persona;150
Total Nacional;03004 Aigües;2 personas;146
Total Nacional;03004 Aigües;3 personas;72
Total Nacional;03004 Aigües;4 personas;65
Total Nacional;03004 Aigües;5 o más personas;23
Total Nacional;03005 Albatera;Total (tamaño del hogar);4.605
Total Nacional;03005 Albatera;1 persona;1.063
Total Nacional;03005 Albatera;2 personas;1.201
Total Nacional;03005 Albatera;3 personas;902
Total Nacional;03005 Albatera;4 personas;930
Total Nacional;03005 Albatera;5 o más personas;509
Total Nacional;03006 Alcalalí;Total (tamaño del hogar);635
Total Nacional;03006 Alcalalí;1 persona;194
Total Nacional;03006 Alcalalí;2 personas;296
Total Nacional;03006 Alcalalí;3 personas;69
Total Nacional;03006 Alcalalí;4 personas;58
Total Nacional;03006 Alcalalí;5 o más personas;18
Total Nacional;03007 Alcocer de Planes;Total (tamaño del hogar);105
Total Nacional;03007 Alcocer de Planes;1 persona;28
Total Nacional;03007 Alcocer de Planes;2 personas;41
Total Nacional;03007 Alcocer de Planes;3 personas;14
Total Nacional;03007 Alcocer de Planes;4 personas;20
Total Nacional;03007 Alcocer de Planes;5 o más personas;2
Total Nacional;03008 Alcoleja;Total (tamaño del hogar);89
